Cell Line,Dataset,AAC (%),IC50 (µM),EC50 (µM),Einf (%),DSS1 (arb.)
HCC2218,GDSC1000,37.775,0.153,0.153,0.000,0.312
MFM-223,GDSC1000,0.153,N/A,0.0281,99.763,0
HCC1419,GDSC1000,14.375,0.542,0.542,0.000,0.11
MDA-MB-231,GDSC1000,14.122,1.41,1.41,0.000,0
MDA-MB-468,GDSC1000,47.473,0.0747,0.0747,0.000,0.423
Hs-578-T,GDSC1000,6.012,N/A,0.476,58.412,0.0356
EFM-19,GDSC1000,26.234,0.497,0.497,0.000,0.187
CAMA-1,GDSC1000,38.073,0.139,0.108,9.859,0.317
HCC70,GDSC1000,10.590,0.587,0.587,0.000,0.0891
HARA,GDSC1000,37.162,0.147,0.147,0.000,0.312
CAL-120,GDSC1000,16.891,0.769,0.769,0.000,0.109
HCC1599,GDSC1000,48.924,0.0656,0.0647,1.772,0.464
HCC1954,GDSC1000,25.768,0.319,0.319,0.000,0.2
MRK-nu-1,GDSC1000,56.236,0.0375,0.0316,6.132,0.514
BT-483,GDSC1000,9.295,12.1,4.58,20.366,0
HCC1187,GDSC1000,13.012,0.552,0.441,20.025,0.101
UACC-812,GDSC1000,2.546,1.71,1.71,0.000,0
MDA-MB-157,GDSC1000,14.366,0.428,0.371,21.946,0.124
HCC38,GDSC1000,55.760,0.0345,0.0281,13.220,0.512
AU565,GDSC1000,38.559,0.107,0.0895,12.535,0.342
HCC202,GDSC1000,21.897,0.711,0.711,0.000,0.146
HDQ-P1,GDSC1000,26.880,0.383,0.383,0.000,0.199
MDA-MB-175-VII,GDSC1000,9.673,0.781,0.781,0.000,0.0659
JIMT-1,GDSC1000,33.476,0.208,0.208,0.000,0.268
HCC1569,GDSC1000,41.954,0.104,0.0975,3.072,0.363
MCF7,GDSC1000,79.714,0.01,0.00997,0.207,0.775
MDA-MB-134-VI,GDSC1000,15.966,0.658,0.658,0.000,0.109
CAL-51,GDSC1000,67.737,0.0206,0.0196,4.061,0.642
OCUB-M,GDSC1000,78.113,0.011,0.0106,4.358,0.757
HCC2157,GDSC1000,52.914,0.0495,0.0495,0.000,0.477
DU-4475,GDSC1000,79.375,0.00898,0.00898,0.000,0.771
HCC1500,GDSC1000,23.330,0.302,0.302,0.000,0.196
COLO-824,GDSC1000,8.514,4.13,4.13,0.000,0
MDA-MB-453,GDSC1000,13.724,149,149,0.000,0
HCC1428,GDSC1000,9.768,0.604,0.555,14.460,0.0808
EFM-192A,GDSC1000,54.948,0.0284,0.0255,17.500,0.521
BT-474,GDSC1000,12.441,0.565,0.565,0.000,0.0985
BT-20,GDSC1000,11.251,0.645,0.645,0.000,0.0837
HCC1143,GDSC1000,1.416,1.31,1.31,0.000,0
CAL-148,GDSC1000,65.747,0.023,0.023,0.000,0.619
EVSA-T,GDSC1000,8.100,0.704,0.704,0.000,0.0631
MDA-MB-436,GDSC1000,13.517,1.81,1.81,0.000,0
MDA-MB-330,GDSC1000,19.058,0.366,0.366,0.000,0.165
T47D,GDSC1000,22.047,0.52,0.52,0.000,0.155
