Prot	Symbol	Entrez	Complex	Group
RING1A	RING1	6015	CorePRC1	PcG
RING1B	RNF2	6045	CorePRC1	PcG
PCGF1	PCGF1	84759	CorePRC1	PcG
PCGF2	PCGF2	7703	CorePRC1	PcG
PCGF3	PCGF3	10336	CorePRC1	PcG
PCGF4	BMI1	648	CorePRC1	PcG
PCGF5	PCGF5	84333	CorePRC1	PcG
PCGF6	PCGF6	84108	CorePRC1	PcG
CBX2	CBX2	84733	CanonicalPRC1	PcG
CBX4	CBX4	8535	CanonicalPRC1	PcG
CBX6	CBX6	23466	CanonicalPRC1	PcG
CBX7	CBX7	23492	CanonicalPRC1	PcG
CBX8	CBX8	57332	CanonicalPRC1	PcG
PHC1	PHC1	1911	CanonicalPRC1	PcG
PHC2	PHC2	1912	CanonicalPRC1	PcG
PHC3	PHC3	80012	CanonicalPRC1	PcG
SCMH1	SCMH1	22955	CanonicalPRC1	PcG
SCMH2	NA	NA	NA	PcG
RYBP	RYBP	23429	NonCanonicalPRC1	PcG
YAF2	YAF2	10138	NonCanonicalPRC1	PcG
KDM2B	KDM2B	84678	NonCanonicalPRC1	PcG
DCAF7	DCAF7	10238	NonCanonicalPRC1	PcG
WDR5	WDR5	11091	NonCanonicalPRC1	PcG
EZH1	EZH1	2145	CorePRC2	PcG
EZH2	EZH2	2146	CorePRC2	PcG
SUZ12	SUZ12	23512	CorePRC2	PcG
EED164	EED	8726	CorePRC2	PcG
RBBP4	RBBP4	5928	CorePRC2	PcG
RBBP7	RBBP7	5931	CorePRC2	PcG
PCL1	PHF1	5252	PRC2AccesoryProt	PcG
PCL2	MTF2	22823	PRC2AccesoryProt	PcG
PCL3	PHF19	26147	PRC2AccesoryProt	PcG
JARID2	JARID2	3720	PRC2AccesoryProt	PcG
AEBP2	AEBP2	121536	PRC2AccesoryProt	PcG
APOP	APOPT1	84334	PRC2AccesoryProt	PcG
C17orf96	EPOP	100170841	PRC2AccesoryProt	PcG
LCOR	LCOR	84458	PRC2AccesoryProt	PcG
BAP1	BAP1	8314	CorePR-DUB	PcG
ASXL1	ASXL1	171023	CorePR-DUB	PcG
ASXL2	ASXL2	55252	CorePR-DUB	PcG
FOXK1	FOXK1	221937	PR-DUBAccesory	PcG
FOXK2	FOXK2	3607	PR-DUBAccesory	PcG
OGT1	OGT	8473	PR-DUBAccesory	PcG
KDM1B	KDM1B	221656	PR-DUBAccesory	PcG
MBD5	MBD5	55777	PR-DUBAccesory	PcG
MBD6	MBD6	114785	PR-DUBAccesory	PcG
WDR5	WDR5	11091	CoreCompass	TrxG
ASH2L	ASH2L	9070	CoreCompass	TrxG
RBBP5	RBBP5	5929	CoreCompass	TrxG
DPY30	DPY30	84661	CoreCompass	TrxG
SET1A	SETD1A	9739	SET1/Compass	TrxG
SET1B	SETD1B	23067	SET1/Compass	TrxG
HCF1	HCFC1	3054	SET1/Compass	TrxG
WDR82	WDR82	80335	SET1/Compass	TrxG
CFP1	CXXC1	30827	SET1/Compass	TrxG
MLL1	KMT2A	4297	MLL1/Compass	TrxG
MLL2	KMT2D	8085	MLL1/Compass	TrxG
MENIN	MEN1	4221	MLL1/Compass	TrxG
MLL3	KMT2C	58508	MLL3/Compass	TrxG
MLL4	KMT2B	9757	MLL3/Compass	TrxG
NCOA6	NCOA6	23054	MLL3/Compass	TrxG
PA1	PAGR1	79447	MLL3/Compass	TrxG
UTX	KDM6A	7403	MLL3/Compass	TrxG
PTIP	PAXIP1	22976	MLL3/Compass	TrxG
ASH1L	ASH1L	55870	ASH1	TrxG
CBP	CREBBP	1387	ASH1	TrxG
BRM	SMARCA2	6595	SWI/SNF	TrxG
BRG1	SMARCA4	6597	SWI/SNF	TrxG
BAF250A	ARID1A	8289	SWI/SNF	TrxG
BAF250B	ARID1B	57492	SWI/SNF	TrxG
BAF155	SMARCC1	6599	SWI/SNF	TrxG
BAF170	SMARCC2	6601	SWI/SNF	TrxG
BAF47	SMARCB1	6598	SWI/SNF	TrxG
BAF45A	PHF10	55274	SWI/SNF	TrxG
BAF45B	DPF1	8193	SWI/SNF	TrxG
BAF45C	DPF3	8110	SWI/SNF	TrxG
BAF45D	DPF2	5977	SWI/SNF	TrxG
BAF53A	ACTL6A	86	SWI/SNF	TrxG
BAF53B	ACTL6B	51412	SWI/SNF	TrxG
BAF180	PBRM1	55193	SWI/SNF	TrxG
BAF200	ARID2	196528	SWI/SNF	TrxG
BAF60A	SMARCD1	6602	SWI/SNF	TrxG
BAF60B	SMARCD2	6603	SWI/SNF	TrxG
BAF60C	SMARCD3	6604	SWI/SNF	TrxG
BAF57	SMARCE1	6605	SWI/SNF	TrxG
Beta-ACTIN	ACTB	60	SWI/SNF	TrxG
BCL7A	BCL7A	605	SWI/SNF	TrxG
BCL7B	BCL7B	9275	SWI/SNF	TrxG
BCL7C	BCL7C	9274	SWI/SNF	TrxG
BRD7	BRD7	29117	SWI/SNF	TrxG
BRD9	BRD9	65980	SWI/SNF	TrxG
