HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
4714	H1F0	H1 histone family member 0	Approved	H1FV	H10	22q13.1	X03473	NM_005318		Histones	864
24893	H1FNT	H1 histone family member N, testis specific	Approved		HANP1, H1T2	12q13.11	AY302593	NM_181788		Histones	864
18463	H1FOO	H1 histone family member O oocyte specific	Approved			3q22.1	AY158091	NM_153833		Histones	864
4722	H1FX	H1 histone family member X	Approved		MGC15959, MGC8350, H1X	3q21.3	D64142	NM_006026		Histones	864
22516	H2AFB1	H2A histone family member B1	Approved			Xq28		NM_001017990		Histones	864
18298	H2AFB2	H2A histone family member B2	Approved			Xq28		NM_001017991		Histones	864
14455	H2AFB3	H2A histone family member B3	Approved	H2AFB		Xq28	AF254576	NM_080720		Histones	864
14456	H2AFJ	H2A histone family member J	Approved		FLJ10903, MGC921	12p12.3	AK001765	NM_177925		Histones	864
20664	H2AFV	H2A histone family member V	Approved	H2AV	MGC10170, MGC10831, MGC1947	7p13	AF081192	NM_012412		Histones	864
31026	H2AFVP1	H2A histone family member V pseudogene 1	Approved	H2AFVP	HsT19970	15q26.1	AC091544	NG_009543		Histones	864
4739	H2AFX	H2A histone family member X	Approved	H2AX		11q23.3	X14850	NM_002105		Histones	864
4740	H2AFY	H2A histone family member Y	Approved		macroH2A1.2	5q31.1	AF054174	NM_004893		Histones	864
14453	H2AFY2	H2A histone family member Y2	Approved		macroH2A2	10q22.1	AF336304	NM_018649		Histones	864
4741	H2AFZ	H2A histone family member Z	Approved	H2AZ	H2A.Z	4q23	X52317	NM_002106		Histones	864
4742	H2AFZP1	H2A histone family member Z pseudogene 1	Approved	H2AFZP		21q22.3	U61521	NG_000922		Histones	864
32279	H2AFZP2	H2A histone family member Z pseudogene 2	Approved			8q13.3		NG_005179		Histones	864
38013	H2AFZP3	H2A histone family member Z pseudogene 3	Approved			13q32.3		NG_011430		Histones	864
38015	H2AFZP4	H2A histone family member Z pseudogene 4	Approved			11q13.3				Histones	864
38018	H2AFZP5	H2A histone family member Z pseudogene 5	Approved			10q22.3				Histones	864
